fecha,porcentaje_media
01-01-1960,1092
01-02-1960,1088
01-03-1960,955
01-04-1960,1016
01-05-1960,1052
01-06-1960,958
01-07-1960,999
01-08-1960,994
01-09-1960,984
01-10-1960,972
01-11-1960,979
01-12-1960,951
01-01-1961,969
01-02-1961,961
01-03-1961,1000
01-04-1961,1002
01-05-1961,1027
01-06-1961,1070
01-07-1961,1083
01-08-1961,1159
01-09-1961,1098
01-10-1961,1123
01-11-1961,1152
01-12-1961,1161
01-01-1962,1122
01-02-1962,1194
01-03-1962,1134
01-04-1962,1235
01-05-1962,1142
01-06-1962,1154
01-07-1962,1189
01-08-1962,1200
01-09-1962,1223
01-10-1962,1181
01-11-1962,1236
01-12-1962,1236
01-01-1963,1248
01-02-1963,1212
01-03-1963,1258
01-04-1963,1288
01-05-1963,1350
01-06-1963,1345
01-07-1963,1321
01-08-1963,1310
01-09-1963,1413
01-10-1963,1414
01-11-1963,1357
01-12-1963,1423
01-01-1964,1296
01-02-1964,1442
01-03-1964,1313
01-04-1964,1264
01-05-1964,1299
01-06-1964,1280
01-07-1964,1304
01-08-1964,1306
01-09-1964,1265
01-10-1964,1230
01-11-1964,1254
01-12-1964,1164
01-01-1965,1264
01-02-1965,1185
01-03-1965,1211
01-04-1965,1162
01-05-1965,1207
01-06-1965,1241
01-07-1965,1237
01-08-1965,1249
01-09-1965,1227
01-10-1965,1279
01-11-1965,1306
01-12-1965,1315
01-01-1966,1325
01-02-1966,1159
01-03-1966,1234
01-04-1966,1145
01-05-1966,1078
01-06-1966,956
01-07-1966,932
01-08-1966,877
01-09-1966,774
01-10-1966,739
01-11-1966,736
01-12-1966,743
01-01-1967,995
01-02-1967,907
01-03-1967,955
01-04-1967,1035
01-05-1967,1076
01-06-1967,1169
01-07-1967,1177
01-08-1967,1229
01-09-1967,1279
01-10-1967,1280
01-11-1967,1297
01-12-1967,1315
01-01-1968,1179
01-02-1968,1342
01-03-1968,1370
01-04-1968,1286
01-05-1968,1297
01-06-1968,1300
01-07-1968,1344
01-08-1968,1357
01-09-1968,1464
01-10-1968,1421
01-11-1968,1436
01-12-1968,1389
01-01-1969,1459
01-02-1969,1495
01-03-1969,1438
01-04-1969,1441
01-05-1969,1328
01-06-1969,1349
01-07-1969,1278
01-08-1969,1317
01-09-1969,1263
01-10-1969,1216
01-11-1969,1191
01-12-1969,1155
01-01-1970,1062
01-02-1970,1118
01-03-1970,1132
01-04-1970,1224
01-05-1970,1328
01-06-1970,1322
01-07-1970,1324
01-08-1970,1394
01-09-1970,1426
01-10-1970,1564
01-11-1970,1502
01-12-1970,1767
01-01-1971,1643
01-02-1971,1588
01-03-1971,1759
01-04-1971,1745
01-05-1971,1972
01-06-1971,1903
01-07-1971,2069
01-08-1971,2004
01-09-1971,1996
01-10-1971,2026
01-11-1971,2079
01-12-1971,2133
01-01-1972,2238
01-02-1972,2169
01-03-1972,2105
01-04-1972,2139
01-05-1972,2067
01-06-1972,2183
01-07-1972,2195
01-08-1972,2263
01-09-1972,2393
01-10-1972,2354
01-11-1972,2234
01-12-1972,2419
01-01-1973,2271
01-02-1973,2226
01-03-1973,2062
01-04-1973,1908
01-05-1973,1931
01-06-1973,2051
01-07-1973,1819
01-08-1973,1809
01-09-1973,1704
01-10-1973,1411
01-11-1973,1402
01-12-1973,1288
01-01-1974,1331
01-02-1974,1360
01-03-1974,1440
01-04-1974,1254
01-05-1974,1138
01-06-1974,1086
01-07-1974,1002
01-08-1974,917
01-09-1974,840
01-10-1974,824
01-11-1974,783
01-12-1974,869
01-01-1975,726
01-02-1975,729
01-03-1975,709
01-04-1975,866
01-05-1975,914
01-06-1975,946
01-07-1975,1020
01-08-1975,994
01-09-1975,1064
01-10-1975,1096
01-11-1975,1110
01-12-1975,1091
01-01-1976,1195
01-02-1976,1190
01-03-1976,1164
01-04-1976,1132
01-05-1976,1194
01-06-1976,1188
01-07-1976,1245
01-08-1976,1309
01-09-1976,1481
01-10-1976,1425
01-11-1976,1531
01-12-1976,1511
01-01-1977,1466
01-02-1977,1560
01-03-1977,1660
01-04-1977,1660
01-05-1977,1668
01-06-1977,1752
01-07-1977,1687
01-08-1977,1780
01-09-1977,1674
01-10-1977,1758
01-11-1977,1771
01-12-1977,1754
01-01-1978,1740
01-02-1978,1736
01-03-1978,1799
01-04-1978,1948
01-05-1978,1766
01-06-1978,1983
01-07-1978,1786
01-08-1978,1691
01-09-1978,1751
01-10-1978,1781
01-11-1978,1795
01-12-1978,1818
01-01-1979,1461
01-02-1979,1492
01-03-1979,1720
01-04-1979,1597
01-05-1979,1684
01-06-1979,1640
01-07-1979,1534
01-08-1979,1591
01-09-1979,1638
01-10-1979,1481
01-11-1979,1276
01-12-1979,1254
01-01-1980,1280
01-02-1980,1199
01-03-1980,988
01-04-1980,808
01-05-1980,861
01-06-1980,1118
01-07-1980,1259
01-08-1980,1367
01-09-1980,1484
01-10-1980,1366
01-11-1980,1383
01-12-1980,1249
01-01-1981,1221
01-02-1981,1199
01-03-1981,1183
01-04-1981,1190
01-05-1981,1173
01-06-1981,976
01-07-1981,935
01-08-1981,889
01-09-1981,847
01-10-1981,731
01-11-1981,748
01-12-1981,796
01-01-1982,794
01-02-1982,808
01-03-1982,891
01-04-1982,888
01-05-1982,953
01-06-1982,913
01-07-1982,1044
01-08-1982,926
01-09-1982,1042
01-10-1982,1149
01-11-1982,1229
01-12-1982,1351
01-01-1983,1426
01-02-1983,1471
01-03-1983,1475
01-04-1983,1566
01-05-1983,1669
01-06-1983,1769
01-07-1983,1795
01-08-1983,1713
01-09-1983,1585
01-10-1983,1716
01-11-1983,1668
01-12-1983,1627
01-01-1984,1816
01-02-1984,1987
01-03-1984,1725
01-04-1984,1776
01-05-1984,1741
01-06-1984,1814
01-07-1984,1605
01-08-1984,1530
01-09-1984,1523
01-10-1984,1490
01-11-1984,1643
01-12-1984,1626
01-01-1985,1660
01-02-1985,1662
01-03-1985,1727
01-04-1985,1664
01-05-1985,1709
01-06-1985,1716
01-07-1985,1697
01-08-1985,1808
01-09-1985,1916
01-10-1985,1743
01-11-1985,1692
01-12-1985,1794
01-01-1986,1847
01-02-1986,1767
01-03-1986,1780
01-04-1986,1858
01-05-1986,1797
01-06-1986,1790
01-07-1986,1780
01-08-1986,1726
01-09-1986,1686
01-10-1986,1675
01-11-1986,1644
01-12-1986,1903
01-01-1987,1690
01-02-1987,1689
01-03-1987,1704
01-04-1987,1601
01-05-1987,1500
01-06-1987,1522
01-07-1987,1516
01-08-1987,1511
01-09-1987,1514
01-10-1987,1447
01-11-1987,1457
01-12-1987,1345
01-01-1988,1244
01-02-1988,1438
01-03-1988,1525
01-04-1988,1429
01-05-1988,1444
01-06-1988,1485
01-07-1988,1439
01-08-1988,1460
01-09-1988,1436
01-10-1988,1516
01-11-1988,1508
01-12-1988,1501
01-01-1989,1466
01-02-1989,1383
01-03-1989,1214
01-04-1989,1376
01-05-1989,1381
01-06-1989,1322
01-07-1989,1283
01-08-1989,1334
01-09-1989,1314
01-10-1989,1365
01-11-1989,1344
01-12-1989,1422
01-01-1990,1748
01-02-1990,1329
01-03-1990,1246
01-04-1990,1136
01-05-1990,1067
01-06-1990,1108
01-07-1990,1078
01-08-1990,1069
01-09-1990,976
01-10-1990,925
01-11-1990,941
01-12-1990,861
01-01-1991,786
01-02-1991,853
01-03-1991,911
01-04-1991,916
01-05-1991,991
01-06-1991,964
01-07-1991,973
01-08-1991,944
01-09-1991,974
01-10-1991,991
01-11-1991,984
01-12-1991,1061
01-01-1992,1077
01-02-1992,1146
01-03-1992,1082
01-04-1992,1054
01-05-1992,1056
01-06-1992,1057
01-07-1992,1089
01-08-1992,1075
01-09-1992,1114
01-10-1992,1132
01-11-1992,1118
01-12-1992,1176
01-01-1993,1177
01-02-1993,1148
01-03-1993,1056
01-04-1993,1104
01-05-1993,1112
01-06-1993,1130
01-07-1993,1174
01-08-1993,1230
01-09-1993,1251
01-10-1993,1287
01-11-1993,1357
01-12-1993,1461
01-01-1994,1390
01-02-1994,1269
01-03-1994,1342
01-04-1994,1392
01-05-1994,1396
01-06-1994,1357
01-07-1994,1335
01-08-1994,1377
01-09-1994,1412
01-10-1994,1397
01-11-1994,1340
01-12-1994,1396
01-01-1995,1282
01-02-1995,1254
01-03-1995,1226
01-04-1995,1259
01-05-1995,1271
01-06-1995,1305
01-07-1995,1354
01-08-1995,1386
01-09-1995,1421
01-10-1995,1400
01-11-1995,1430
01-12-1995,1442
01-01-1996,1387
01-02-1996,1420
01-03-1996,1437
01-04-1996,1463
01-05-1996,1457
01-06-1996,1429
01-07-1996,1450
01-08-1996,1413
01-09-1996,1392
01-10-1996,1358
01-11-1996,1412
01-12-1996,1411
01-01-1997,1382
01-02-1997,1445
01-03-1997,1436
01-04-1997,1421
01-05-1997,1414
01-06-1997,1402
01-07-1997,1440
01-08-1997,1449
01-09-1997,1494
01-10-1997,1499
01-11-1997,1469
01-12-1997,1456
01-01-1998,1555
01-02-1998,1647
01-03-1998,1605
01-04-1998,1547
01-05-1998,1554
01-06-1998,1551
01-07-1998,1610
01-08-1998,1654
01-09-1998,1577
01-10-1998,1719
01-11-1998,1672
01-12-1998,1742
01-01-1999,1732
01-02-1999,1720
01-03-1999,1665
01-04-1999,1600
01-05-1999,1640
01-06-1999,1702
01-07-1999,1682
01-08-1999,1671
01-09-1999,1551
01-10-1999,1649
01-11-1999,1672
01-12-1999,1683
01-01-2000,1727
01-02-2000,1692
01-03-2000,1651
01-04-2000,1597
01-05-2000,1543
01-06-2000,1572
01-07-2000,1542
01-08-2000,1552
01-09-2000,1570
01-10-2000,1577
01-11-2000,1614
01-12-2000,1543
01-01-2001,1699
01-02-2001,1656
01-03-2001,1659
01-04-2001,1666
01-05-2001,1665
01-06-2001,1626
01-07-2001,1598
01-08-2001,1615
01-09-2001,1565
01-10-2001,1566
01-11-2001,1651
01-12-2001,1680
01-01-2002,1665
01-02-2002,1787
01-03-2002,1691
01-04-2002,1669
01-05-2002,1716
01-06-2002,1758
01-07-2002,1738
01-08-2002,1695
01-09-2002,1803
01-10-2002,1799
01-11-2002,1771
01-12-2002,1896
01-01-2003,1808
01-02-2003,1854
01-03-2003,1757
01-04-2003,1803
01-05-2003,1835
01-06-2003,1875
01-07-2003,1885
01-08-2003,1966
01-09-2003,1961
01-10-2003,2012
01-11-2003,1918
01-12-2003,1987
01-01-2004,1952
01-02-2004,1966
01-03-2004,2066
01-04-2004,2070
01-05-2004,2150
01-06-2004,2020
01-07-2004,2112
01-08-2004,2056
01-09-2004,2041
01-10-2004,2097
01-11-2004,2079
01-12-2004,2082
01-01-2005,2139
01-02-2005,2114
01-03-2005,2062
01-04-2005,2150
01-05-2005,2085
01-06-2005,2178
01-07-2005,2203
01-08-2005,2219
01-09-2005,2263
01-10-2005,2170
01-11-2005,2218
01-12-2005,2120
01-01-2006,2212
01-02-2006,2141
01-03-2006,2118
01-04-2006,1998
01-05-2006,1905
01-06-2006,1867
01-07-2006,1763
01-08-2006,1722
01-09-2006,1655
01-10-2006,1570
01-11-2006,1535
01-12-2006,1638
01-01-2007,1626
01-02-2007,1598
01-03-2007,1596
01-04-2007,1470
01-05-2007,1493
01-06-2007,1407
01-07-2007,1361
01-08-2007,1321
01-09-2007,1261
01-10-2007,1192
01-11-2007,1224
01-12-2007,1149
01-01-2008,1094
01-02-2008,1014
01-03-2008,967
01-04-2008,1008
01-05-2008,995
01-06-2008,1180
01-07-2008,921
01-08-2008,858
01-09-2008,797
01-10-2008,736
01-11-2008,626
01-12-2008,554
01-01-2009,545
01-02-2009,558
01-03-2009,513
01-04-2009,521
01-05-2009,556
01-06-2009,601
01-07-2009,595
01-08-2009,616
01-09-2009,609
01-10-2009,583
01-11-2009,623
01-12-2009,664
01-01-2010,636
01-02-2010,650
01-03-2010,687
01-04-2010,637
01-05-2010,575
01-06-2010,587
01-07-2010,579
01-08-2010,580
01-09-2010,563
01-10-2010,558
01-11-2010,560
01-12-2010,632
01-01-2011,576
01-02-2011,542
01-03-2011,583
01-04-2011,581
01-05-2011,618
01-06-2011,636
01-07-2011,621
01-08-2011,647
01-09-2011,610
01-10-2011,671
01-11-2011,706
01-12-2011,697
01-01-2012,712
01-02-2012,738
01-03-2012,806
01-04-2012,732
01-05-2012,796
01-06-2012,794
01-07-2012,849
01-08-2012,840
01-09-2012,930
01-10-2012,887
01-11-2012,917
01-12-2012,941
01-01-2013,940
01-02-2013,980
01-03-2013,936
01-04-2013,1012
01-05-2013,1003
01-06-2013,942
01-07-2013,997
01-08-2013,964
01-09-2013,1004
01-10-2013,1044
01-11-2013,1029
01-12-2013,1005
01-01-2014,976
01-02-2014,1039
01-03-2014,1067
01-04-2014,1090
01-05-2014,1018
01-06-2014,1010
01-07-2014,1076
01-08-2014,1047
01-09-2014,1077
01-10-2014,1094
01-11-2014,1059
01-12-2014,1070
01-01-2015,1048
01-02-2015,1127
01-03-2015,1078
01-04-2015,1161
01-05-2015,1275
01-06-2015,1378
01-07-2015,1139
01-08-2015,1165
01-09-2015,1143
01-10-2015,1158
01-11-2015,1245
01-12-2015,1209
01-01-2016,1167
01-02-2016,1186
01-03-2016,1119
01-04-2016,1155
01-05-2016,1198
01-06-2016,1204
01-07-2016,1193
01-08-2016,1203
01-09-2016,1282
01-10-2016,1271
01-11-2016,1236
01-12-2016,1251
01-01-2017,1313
01-02-2017,1239
01-03-2017,1292
01-04-2017,1255
01-05-2017,1209
01-06-2017,1326
01-07-2017,1265
01-08-2017,1309
01-09-2017,1257
01-10-2017,1339
01-11-2017,1299
01-12-2017,1312
01-01-2018,1365
01-02-2018,1332
01-03-2018,1415
01-04-2018,1387
01-05-2018,1330
01-06-2018,1317
01-07-2018,1331
01-08-2018,1258
01-09-2018,1290
01-10-2018,1267
01-11-2018,1319
01-12-2018,1334
01-01-2019,1316
01-02-2019,1305
01-03-2019,1327
01-04-2019,1330
01-05-2019,1338
01-06-2019,1273
01-07-2019,1366
01-08-2019,1471
01-09-2019,1437
01-10-2019,1503
01-11-2019,1510
01-12-2019,1457
01-01-2020,1536
01-02-2020,1438
01-03-2020,1356
01-04-2020,1066
01-05-2020,1216
01-06-2020,1258
01-07-2020,1483
01-08-2020,1476
01-09-2020,1545
01-10-2020,1544
01-11-2020,1635
01-12-2020,1704
01-01-2021,1886
